customer_id,first_name,last_name,age,gender,annual_income,household_size,loyalty_level,loyalty_points,customer_segment,preferred_channel,home_store_id,city,state,region,signup_date,email_opt_in
20001,Angela,Martinez,37.0,Female,178900.0,1,Platinum,46042,Tech Enthusiast,Mobile App,129,Memphis,TN,South,2020-12-22,True
20002,Lisa,Jackson,36.0,Female,36000.0,5,Platinum,47561,Young Professional,Curbside Pickup,126,Detroit,MI,Midwest,2017-04-11,True
20003,Robert,Baker,33.0,Male,107900.0,5,None,100,Bulk Buyer,In-Store,122,Washington,DC,Northeast,2022-06-08,False
20004,Jason,Rodriguez,40.0,Male,36800.0,5,Platinum,46819,Budget Shopper,Online,124,Las Vegas,NV,West,2020-12-25,False
20005,Alex,Taylor,20.0,Prefer Not to Say,155000.0,4,Gold,17303,Retiree,Curbside Pickup,130,Baltimore,MD,Northeast,2019-12-28,False
20006,Wei,Hernandez,81.0,Male,129700.0,2,Gold,17616,Family Household,Curbside Pickup,150,Cleveland,OH,Midwest,2020-04-05,False
20007,Karen,Hernandez,22.0,Female,81400.0,4,Platinum,44172,Tech Enthusiast,Online,124,Las Vegas,NV,West,2016-02-25,False
20008,Nicole,Martin,41.0,Female,64000.0,6,Silver,9470,Family Household,Online,137,Atlanta,GA,South,2021-04-18,True
20009,Andrew,Nguyen,21.0,Male,124900.0,2,Gold,17623,Family Household,Curbside Pickup,136,Mesa,AZ,West,2017-10-17,True
20010,Priya,Lopez,66.0,Female,109000.0,6,Platinum,39757,Tech Enthusiast,Curbside Pickup,126,Detroit,MI,Midwest,2023-04-24,False
20011,Anthony,Perez,32.0,Male,158300.0,5,Gold,23625,Budget Shopper,Online,111,Austin,TX,South,2023-01-12,True
20012,Susan,Williams,52.0,Female,133100.0,4,Gold,23869,Tech Enthusiast,Mobile App,142,Virginia Beach,VA,South,2022-08-06,False
20013,Taylor,Davis,31.0,Prefer Not to Say,169100.0,4,Gold,18885,Budget Shopper,In-Store,110,Jacksonville,FL,South,2019-09-08,False
20014,Wei,Patel,51.0,Male,62600.0,3,Platinum,41229,Retiree,In-Store,106,Philadelphia,PA,Northeast,2021-05-06,True
20015,Daniel,Jackson,44.0,Male,81700.0,4,Bronze,888,Tech Enthusiast,Mobile App,141,Raleigh,NC,South,2023-05-26,True
20016,Angela,Rodriguez,61.0,Female,91200.0,6,Silver,8544,Tech Enthusiast,Curbside Pickup,108,San Diego,CA,West,2018-05-25,False
20017,Andrew,Martin,31.0,Male,117600.0,1,Platinum,41800,Budget Shopper,Curbside Pickup,130,Baltimore,MD,Northeast,2019-07-08,True
20018,Linda,Gonzalez,23.0,Female,120500.0,1,Silver,10325,Family Household,Mobile App,130,Baltimore,MD,Northeast,2021-01-14,True
20019,Karen,Gonzalez,64.0,Female,40500.0,6,Silver,8206,Family Household,In-Store,109,Dallas,TX,South,2017-01-03,True
20020,Maria,Brown,49.0,Female,74900.0,1,Gold,29342,Family Household,Mobile App,149,Wichita,KS,Midwest,2022-07-09,True
20021,Steven,Phillips,40.0,Male,36700.0,6,Bronze,2724,Budget Shopper,Mobile App,131,Milwaukee,WI,Midwest,2023-06-20,True
20022,Nicole,Baker,32.0,Female,145700.0,5,Platinum,45943,Family Household,Online,122,Washington,DC,Northeast,2019-04-27,True
20023,Eric,Jackson,58.0,Male,136200.0,2,Gold,27817,Tech Enthusiast,Mobile App,143,Miami,FL,South,2019-11-14,True
20024,Robert,Patel,45.0,Male,163200.0,3,Gold,22690,Bulk Buyer,In-Store,135,Sacramento,CA,West,2019-06-21,True
20025,Robert,Kim,31.0,Male,112900.0,5,Gold,21530,Budget Shopper,Mobile App,112,Fort Worth,TX,South,2020-02-11,False
